Round,Train Accuracy,Train Loss,Test Accuracy,Test Loss
1,0.860014847809948,0.383398186687903,0.825688073394496,0.412233664901978
2,0.897015590200445,0.27085517191586,0.903669724770642,0.271242053000205
3,0.908923533778768,0.244672996644719,0.917431192660551,0.25215215953665
4,0.918099480326652,0.238576001905364,0.912844036697248,0.282995076525375
5,0.920772086117298,0.216308858706364,0.917431192660551,0.249479042588297
6,0.928819599109131,0.188155727370987,0.917431192660551,0.240490151218933
7,0.931907943578322,0.185625988202752,0.922018348623853,0.241379476126728
8,0.941321455085375,0.169839346800456,0.938073394495413,0.193412564812365
9,0.941677802524128,0.164187504870744,0.926605504587156,0.235210591354706
10,0.944320712694878,0.147828362376278,0.938073394495413,0.194388264209169
11,0.944974016332591,0.153291300353501,0.919724770642202,0.244442751772121
12,0.947735708982925,0.148647651701568,0.924311926605505,0.259981765522869
13,0.954922048997773,0.131188932258827,0.935779816513762,0.228636308679989
14,0.957921306607276,0.119204536223509,0.93348623853211,0.220480300281026
15,0.956169265033408,0.12126760662122,0.924311926605505,0.22707907163427
