Round,Train Accuracy,Train Loss,Test Accuracy,Test Loss
1,0.876967393241076,0.327252999883568,0.846330275229358,0.36788009558249
2,0.898081605986815,0.273282741078247,0.880733944954129,0.301618701547658
3,0.908208113084279,0.244325688074839,0.887614678899083,0.305148089697602
4,0.919136425729049,0.216514992018609,0.896788990825688,0.291974064629149
5,0.91361287640316,0.254578794009929,0.887614678899083,0.371697647966991
6,0.921749717883233,0.216267386463201,0.892201834862385,0.316729084716751
7,0.933420443071806,0.186857503249466,0.89908256880734,0.34138169754382
8,0.924778761061947,0.212285123061708,0.894495412844037,0.378827927454691
9,0.94339846766051,0.154624002038956,0.903669724770642,0.312248553038327
10,0.94170576706064,0.168131965291568,0.89908256880734,0.362638636144015
11,0.946991744372513,0.148370194686832,0.896788990825688,0.311711252389322
12,0.949902001544218,0.137075454853584,0.908256880733945,0.305031471890013
13,0.954504959315793,0.126938445616265,0.89908256880734,0.327971422433887
14,0.959137613589119,0.113652814808967,0.908256880733945,0.286742949311476
15,0.959345489101384,0.112193647367507,0.908256880733945,0.309243865180846
